GEOID,NAME,ICEraceinc,prop_in_poverty,ICErace,ICEincome,prop_black,prop_hispanic,prop_white_nh,total_popsize
36005000100,"Census Tract 1, Bronx County, New York",NA,NA,-0.8018953654420355,0,0.6291055432948202,0.299493703751785,0.09905231727898221,7703
36005000200,"Census Tract 2, Bronx County, New York",0.014503263234227702,0.20940959409594095,-0.14751064223579494,0.035720895798630393,0.20858782158060338,0.75791227096057745,0.42624467888210255,5403
36005000400,"Census Tract 4, Bronx County, New York",0.008328995314940135,0.2381300219138057,-0.29636517328825024,0.04395604395604396,0.3570583262890955,0.6270498732037194,0.3518174133558749,5915
36005001600,"Census Tract 16, Bronx County, New York",-0.19653767820773932,0.3547945205479452,-0.2206157509780575,-0.09338322844021092,0.3740432046266372,0.6513012417077735,0.38969212451097124,5879
36005001900,"Census Tract 19, Bronx County, New York",-0.15538290788013318,0.2870544090056285,-0.6186800463141644,-0.06869934388267078,0.3434967194133539,0.5542261675028947,0.1906599768429178,2591
36005002000,"Census Tract 20, Bronx County, New York",-0.38638672536403657,0.6663493574488338,-0.3828088304368248,-0.19539689995302958,0.41063879755753874,0.6106153123532174,0.3085955847815876,8516
36005002300,"Census Tract 23, Bronx County, New York",-0.5663397005678885,0.6709145427286357,-0.6372015081692501,-0.2932551319648094,0.4149560117302053,0.6231671554252199,0.18139924591537496,4774
36005002400,"Census Tract 24, Bronx County, New York",0,0,0.04,0.2,0.48,0,0.52,150
36005002500,"Census Tract 25, Bronx County, New York",-0.4842391304347826,0.6328671328671329,-0.5488328664799254,-0.18898225957049486,0.2207282913165266,0.7648926237161531,0.22558356676003735,5355
36005002701,"Census Tract 27.01, Bronx County, New York",-0.5036297640653358,0.6384462151394422,-0.6538461538461539,-0.21518567639257294,0.3753315649867374,0.6800397877984085,0.17307692307692307,3016
36005002702,"Census Tract 27.02, Bronx County, New York",-0.49353448275862066,0.6279809220985691,-0.6760150690665551,-0.15969024696525744,0.32126412724989534,0.7132691502720804,0.16199246546672247,4778
36005002800,"Census Tract 28, Bronx County, New York",-0.194515852613539,0.06616862326574173,-0.9350820909605586,-0.020192489148896018,0.7639177203245896,0.22966597471220984,0.0324589545197207,5299
36005003100,"Census Tract 31, Bronx County, New York",-0.22879684418145957,0.2754491017964072,-0.6671214188267395,-0.08935879945429741,0.30013642564802184,0.723055934515689,0.1664392905866303,1466
36005003300,"Census Tract 33, Bronx County, New York",-0.5445804195804196,0.7082670906200318,-0.6968302658486708,-0.18660531697341512,0.40644171779141103,0.656441717791411,0.15158486707566463,3912
36005003500,"Census Tract 35, Bronx County, New York",-0.4403948367501898,0.4982014388489209,-0.8004052684903749,-0.15121580547112462,0.2978723404255319,0.7348024316109423,0.09979736575481256,3948
36005003700,"Census Tract 37, Bronx County, New York",-0.4406779661016949,0,-0.24390243902439024,-0.26422764227642276,0.17886178861788618,0.5772357723577236,0.3780487804878049,246
36005003800,"Census Tract 38, Bronx County, New York",-0.1945945945945946,0.45,-0.36797988264878456,-0.07376362112321877,0.45683151718357085,0.5314333612740989,0.3160100586756077,1193
36005003900,"Census Tract 39, Bronx County, New York",-0.28023133543638273,0.35685483870967744,-0.6280616873299063,-0.11052313274871485,0.19609918355004535,0.8199274266706985,0.18596915633504688,6614
36005004001,"Census Tract 40.01, Bronx County, New York",-0.07959183673469387,0.2893081761006289,-0.45454545454545453,-0.016913319238900635,0.11839323467230443,0.5130373502466525,0.2727272727272727,1419
36005004100,"Census Tract 41, Bronx County, New York",-0.532387706855792,0.6553262688232013,-0.6562693020382953,-0.21772699197035206,0.32134033353922176,0.7580296479308215,0.17186534898085237,6476
36005004200,"Census Tract 42, Bronx County, New York",-0.3355457227138643,0.5554799183117767,-0.46292134831460674,-0.17457865168539327,0.5327247191011236,0.4646067415730337,0.26853932584269663,7120
36005004300,"Census Tract 43, Bronx County, New York",-0.4806013579049467,0.5653333333333334,-0.7365032194155523,-0.17731550272412086,0.29602113257388146,0.7407957734852237,0.13174839029222388,6057
36005004400,"Census Tract 44, Bronx County, New York",-0.4325808419768151,0.48092280390417036,-0.71729070256626,-0.1783761043331931,0.41543962978544385,0.6060159865376525,0.14135464871687,4754
36005004600,"Census Tract 46, Bronx County, New York",-0.21602288984263232,0.31213872832369943,-0.3879079721776351,-0.10968432316746923,0.40823970037453183,0.5971107544141252,0.30604601391118247,1869
36005004800,"Census Tract 48, Bronx County, New York",-0.33635614179719703,0.41382667964946446,-0.7804451112778195,-0.10227556889222306,0.27781945486371595,0.7166791697924482,0.10977744436109027,3999
36005005001,"Census Tract 50.01, Bronx County, New York",-0.35989196488858877,0.49151172190784154,-0.7596724667349027,-0.10747185261003071,0.3997952917093142,0.583828045035824,0.12016376663254862,4885
36005005002,"Census Tract 50.02, Bronx County, New York",-0.33996588971006253,0.6097388849682428,-0.7061946902654868,-0.12654867256637167,0.20300884955752213,0.7315044247787611,0.14690265486725665,5650
36005005100,"Census Tract 51, Bronx County, New York",-0.55,0.683311432325887,-0.7710949938085973,-0.21634530337873695,0.37785246771625686,0.6969750574915974,0.1144525030957014,5653
36005005200,"Census Tract 52, Bronx County, New York",-0.4821648216482165,0.5709677419354838,-0.5862977602108037,-0.19235836627140976,0.27580149319279756,0.696969696969697,0.20685111989459815,2277
36005005300,"Census Tract 53, Bronx County, New York",-0.5291607396870555,0.7042001787310098,-0.8320364904749128,-0.22377247115642607,0.5331365709686074,0.4408371344244701,0.0839817547625436,3727
